UNDERLYING                          ,SYMBOL    ,FEB-25     ,MAR-25     ,APR-25     ,JUN-25     ,SEP-25     ,DEC-25     ,JUN-26     ,DEC-26     ,JUN-27     ,DEC-27     ,JUN-28     ,DEC-28     ,JUN-29     ,DEC-29     
BIOCON LIMITED.                     ,BIOCON    ,2500       ,2500       ,2500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BOSCH LIMITED                       ,BOSCHLTD  ,25         ,25         ,25         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHARAT PETROLEUM CORP  LT           ,BPCL      ,1800       ,1800       ,1800       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BRITANNIA INDUSTRIES LTD            ,BRITANNIA ,100        ,100        ,100        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BSE LIMITED                         ,BSE       ,125        ,125        ,125        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BIRLASOFT LIMITED                   ,BSOFT     ,1000       ,1000       ,1000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
COMPUTER AGE MNGT SER LTD           ,CAMS      ,125        ,125        ,125        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
COAL INDIA LTD                      ,COALINDIA ,1050       ,1050       ,1050       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DALMIA BHARAT LIMITED               ,DALBHARAT ,275        ,275        ,275        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CANARA BANK                         ,CANBK     ,6750       ,6750       ,6750       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CAN FIN HOMES LTD                   ,CANFINHOME,975        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CENTRAL DEPO SER (I) LTD            ,CDSL      ,350        ,350        ,350        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HINDUSTAN UNILEVER LTD.             ,HINDUNILVR,300        ,300        ,300        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
COFORGE LIMITED                     ,COFORGE   ,75         ,75         ,75         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDIAMART INTERMESH LTD             ,INDIAMART ,300        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDIAN BANK                         ,INDIANB   ,950        ,950        ,950        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDIAN RAIL TOUR CORP LTD           ,IRCTC     ,875        ,875        ,875        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
JINDAL STEEL & POWER LTD            ,JINDALSTEL,625        ,625        ,625        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CESC LTD                            ,CESC      ,2925       ,2925       ,2925       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
M&M FIN. SERVICES LTD               ,M&MFIN    ,2000       ,2000       ,2000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MARUTI SUZUKI INDIA LTD.            ,MARUTI    ,50         ,50         ,50         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MAHANAGAR GAS LTD.                  ,MGL       ,400        ,400        ,400        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NAVIN FLUORINE INT. LTD             ,NAVINFLUOR,175        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NBCC (INDIA) LIMITED                ,NBCC      ,5800       ,5800       ,5800       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NESTLE INDIA LIMITED                ,NESTLEIND ,200        ,200        ,200        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SBI CARDS & PAY SER LTD             ,SBICARD   ,800        ,800        ,800        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SHREE CEMENT LIMITED                ,SHREECEM  ,25         ,25         ,25         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SOLAR INDUSTRIES (I) LTD            ,SOLARINDS ,75         ,75         ,75         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SUN TV NETWORK LIMITED              ,SUNTV     ,750        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TATA CONSUMER PRODUCT LTD           ,TATACONSUM,456        ,456        ,456        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CONTAINER CORP OF IND LTD           ,CONCOR    ,1000       ,1000       ,1000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CROMPT GREA CON ELEC LTD            ,CROMPTON  ,1800       ,1800       ,1800       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
TORRENT POWER LTD                   ,TORNTPOWER,375        ,375        ,375        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
UNITED BREWERIES LTD                ,UBL       ,400        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
UPL LIMITED                         ,UPL       ,1355       ,1355       ,1355       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CYIENT LIMITED                      ,CYIENT    ,300        ,300        ,300        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DR. REDDY S LABORATORIES            ,DRREDDY   ,625        ,625        ,625        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDUSIND BANK LIMITED               ,INDUSINDBK,500        ,500        ,500        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DIVI S LABORATORIES LTD             ,DIVISLAB  ,100        ,100        ,100        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CG POWER AND IND SOL LTD            ,CGPOWER   ,725        ,725        ,725        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CHAMBAL FERTILIZERS LTD             ,CHAMBLFERT,1900       ,1900       ,1900       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DIXON TECHNO (INDIA) LTD            ,DIXON     ,50         ,50         ,50         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CHOLAMANDALAM IN & FIN CO           ,CHOLAFIN  ,625        ,625        ,625        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CIPLA LTD                           ,CIPLA     ,325        ,325        ,325        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ESCORTS KUBOTA LIMITED              ,ESCORTS   ,150        ,150        ,150        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GLENMARK PHARMACEUTICALS            ,GLENMARK  ,325        ,325        ,325        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GRANULES INDIA LIMITED              ,GRANULES  ,1000       ,1000       ,1000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GRASIM INDUSTRIES LTD               ,GRASIM    ,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HDFC AMC LIMITED                    ,HDFCAMC   ,150        ,150        ,150        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ICICI LOMBARD GIC LIMITED           ,ICICIGI   ,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
COLGATE PALMOLIVE LTD.              ,COLPAL    ,175        ,175        ,175        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
COROMANDEL INTERNTL. LTD            ,COROMANDEL,350        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CITY UNION BANK LTD                 ,CUB       ,5000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CUMMINS INDIA LTD                   ,CUMMINSIND,150        ,150        ,150        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
IRB INFRA DEV LTD.                  ,IRB       ,10250      ,10250      ,10250      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
JK CEMENT LIMITED                   ,JKCEMENT  ,125        ,125        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
JINDAL STAINLESS LIMITED            ,JSL       ,775        ,775        ,775        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
JSW ENERGY LIMITED                  ,JSWENERGY ,750        ,750        ,750        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DABUR INDIA LTD                     ,DABUR     ,1250       ,1250       ,1250       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DEEPAK NITRITE LTD                  ,DEEPAKNTR ,300        ,300        ,300        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LIC HOUSING FINANCE LTD             ,LICHSGFIN ,1000       ,1000       ,1000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MACROTECH DEVELOPERS LTD            ,LODHA     ,450        ,450        ,450        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DELHIVERY LIMITED                   ,DELHIVERY ,1525       ,1525       ,1525       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DLF LIMITED                         ,DLF       ,825        ,825        ,825        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AVENUE SUPERMARTS LIMITED           ,DMART     ,150        ,150        ,150        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
EICHER MOTORS LTD                   ,EICHERMOT ,175        ,175        ,175        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
EXIDE INDUSTRIES LTD                ,EXIDEIND  ,1800       ,1800       ,1800       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
FEDERAL BANK LTD                    ,FEDERALBNK,5000       ,5000       ,5000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GAIL (INDIA) LTD                    ,GAIL      ,2350       ,2350       ,2350       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GMR AIRPORTS LIMITED                ,GMRAIRPORT,5625       ,5625       ,5625       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GUJ NAR VAL FER & CHEM L            ,GNFC      ,1300       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GODREJ CONSUMER PRODUCTS            ,GODREJCP  ,500        ,500        ,500        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GODREJ PROPERTIES LTD               ,GODREJPROP,225        ,225        ,225        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
GUJARAT GAS LIMITED                 ,GUJGASLTD ,1250       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HINDUSTAN AERONAUTICS LTD           ,HAL       ,150        ,150        ,150        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HAVELLS INDIA LIMITED               ,HAVELLS   ,500        ,500        ,500        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HCL TECHNOLOGIES LTD                ,HCLTECH   ,350        ,350        ,350        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HDFC BANK LTD                       ,HDFCBANK  ,550        ,550        ,550        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HDFC LIFE INS CO LTD                ,HDFCLIFE  ,1100       ,1100       ,1100       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HERO MOTOCORP LIMITED               ,HEROMOTOCO,150        ,150        ,150        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HFCL LIMITED                        ,HFCL      ,4150       ,4150       ,4150       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HINDALCO  INDUSTRIES  LTD           ,HINDALCO  ,1400       ,1400       ,1400       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HINDUSTAN COPPER LTD                ,HINDCOPPER,2650       ,2650       ,2650       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MAX HEALTHCARE INS LTD              ,MAXHEALTH ,525        ,525        ,525        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HINDUSTAN PETROLEUM CORP            ,HINDPETRO ,2025       ,2025       ,2025       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
HSG & URBAN DEV CORPN LTD           ,HUDCO     ,2425       ,2425       ,2425       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ICICI BANK LTD.                     ,ICICIBANK ,700        ,700        ,700        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MULTI COMMODITY EXCHANGE            ,MCX       ,100        ,100        ,100        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ICICI PRU LIFE INS CO LTD           ,ICICIPRULI,750        ,750        ,750        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
VODAFONE IDEA LIMITED               ,IDEA      ,40000      ,40000      ,40000      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
IDFC FIRST BANK LIMITED             ,IDFCFIRSTB,7500       ,7500       ,7500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDIAN ENERGY EXC LTD               ,IEX       ,3750       ,3750       ,3750       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDRAPRASTHA GAS LTD                ,IGL       ,2750       ,2750       ,2750       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
THE INDIAN HOTELS CO. LTD           ,INDHOTEL  ,1000       ,1000       ,1000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INTERGLOBE AVIATION LTD             ,INDIGO    ,150        ,150        ,150        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDUS TOWERS LIMITED                ,INDUSTOWER,1700       ,1700       ,1700       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INFOSYS LIMITED                     ,INFY      ,400        ,400        ,400        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDIAN OIL CORP LTD                 ,IOC       ,4875       ,4875       ,4875       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
IPCA LABORATORIES LTD               ,IPCALAB   ,650        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDIAN RAILWAY FIN CORP L           ,IRFC      ,3525       ,3525       ,3525       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ITC LTD                             ,ITC       ,1600       ,1600       ,1600       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
JIO FIN SERVICES LTD                ,JIOFIN    ,1650       ,1650       ,1650       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
JSW STEEL LIMITED                   ,JSWSTEEL  ,675        ,675        ,675        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
JUBILANT FOODWORKS LTD              ,JUBLFOOD  ,1250       ,1250       ,1250       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
KALYAN JEWELLERS IND LTD            ,KALYANKJIL,775        ,775        ,775        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
KEI INDUSTRIES LTD.                 ,KEI       ,150        ,150        ,150        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
KOTAK MAHINDRA BANK LTD             ,KOTAKBANK ,400        ,400        ,400        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
KPIT TECHNOLOGIES LIMITED           ,KPITTECH  ,400        ,400        ,400        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
DR. LAL PATH LABS LTD.              ,LALPATHLAB,150        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LAURUS LABS LIMITED                 ,LAURUSLABS,1700       ,1700       ,1700       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LIFE INSURA CORP OF INDIA           ,LICI      ,575        ,575        ,575        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LARSEN & TOUBRO LTD.                ,LT        ,150        ,150        ,150        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
L&T FINANCE LIMITED                 ,LTF       ,4462       ,4462       ,4462       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LTIMINDTREE LIMITED                 ,LTIM      ,150        ,150        ,150        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
L&T TECHNOLOGY SER. LTD.            ,LTTS      ,100        ,100        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
LUPIN LIMITED                       ,LUPIN     ,425        ,425        ,425        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MAHINDRA & MAHINDRA LTD             ,M&M       ,175        ,175        ,175        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MANAPPURAM FINANCE LTD              ,MANAPPURAM,3000       ,3000       ,3000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MARICO LIMITED                      ,MARICO    ,1200       ,1200       ,1200       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
METROPOLIS HEALTHCARE LTD           ,METROPOLIS,400        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MAX FINANCIAL SERV LTD              ,MFSL      ,800        ,800        ,800        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
SAMVRDHNA MTHRSN INTL LTD           ,MOTHERSON ,3550       ,3550       ,3550       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MPHASIS LIMITED                     ,MPHASIS   ,275        ,275        ,275        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MRF LTD                             ,MRF       ,5          ,5          ,5          ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MUTHOOT FINANCE LIMITED             ,MUTHOOTFIN,275        ,275        ,275        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NATIONAL ALUMINIUM CO LTD           ,NATIONALUM,3750       ,3750       ,3750       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INFO EDGE (I) LTD                   ,NAUKRI    ,75         ,75         ,75         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NCC LIMITED                         ,NCC       ,1775       ,1775       ,1775       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NHPC LTD                            ,NHPC      ,6400       ,6400       ,6400       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
OBEROI REALTY LIMITED               ,OBEROIRLTY,350        ,350        ,350        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
OIL INDIA LTD                       ,OIL       ,1075       ,1075       ,1075       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PAGE INDUSTRIES LTD                 ,PAGEIND   ,15         ,15         ,15         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ONE 97 COMMUNICATIONS LTD           ,PAYTM     ,650        ,650        ,650        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PETRONET LNG LIMITED                ,PETRONET  ,1500       ,1500       ,1500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PUNJAB NATIONAL BANK                ,PNB       ,8000       ,8000       ,8000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NMDC LTD.                           ,NMDC      ,13500      ,13500      ,13500      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NTPC LTD                            ,NTPC      ,1500       ,1500       ,1500       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
FSN E COMMERCE VENTURES             ,NYKAA     ,2950       ,2950       ,2950       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ORACLE FIN SERV SOFT LTD.           ,OFSS      ,50         ,50         ,50         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
OIL AND NATURAL GAS CORP.           ,ONGC      ,1925       ,1925       ,1925       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PIRAMAL ENTERPRISES LTD             ,PEL       ,750        ,750        ,750        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
THE RAMCO CEMENTS LIMITED           ,RAMCOCEM  ,850        ,850        ,850        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
STEEL AUTHORITY OF INDIA            ,SAIL      ,4000       ,4000       ,4000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PERSISTENT SYSTEMS LTD              ,PERSISTENT,100        ,100        ,100        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
POWER FIN CORP LTD.                 ,PFC       ,1300       ,1300       ,1300       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PIDILITE INDUSTRIES LTD             ,PIDILITIND,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PI INDUSTRIES LTD                   ,PIIND     ,125        ,125        ,125        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PB FINTECH LIMITED                  ,POLICYBZR ,325        ,325        ,325        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
POLYCAB INDIA LIMITED               ,POLYCAB   ,125        ,125        ,125        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
POONAWALLA FINCORP LTD              ,POONAWALLA,1450       ,1450       ,1450       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
